URL,Title,Price,Rating,Seller,Description
https://www.newegg.com/gigabyte-windforce-oc-gv-n3060wf2oc-12gd-rev2-0-nvidia-geforce-rtx-3060-12gb-gddr6/p/N82E16814932658,GIGABYTE WINDFORCE OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 ATX Graphics Card GV-N3060WF2OC-12GD REV2.0,329.99$,4.8 out of 5,Seller is Newegg,NVIDIA Ampere Streaming Multiprocessors 2nd Generation RT Cores 3rd Generation Tensor Cores Powered by GeForce RTX 3060 Integrated with 12GB GDDR6 192-bit memory interface WINDFORCE 2X Cooling System with alternate spinning fans Screen Cooling 200mm Compact Size Core Clock: 1792MHz
https://www.newegg.com/amd-epyc-4244p-socket-am5/p/N82E16819113837,AMD EPYC 4004 (4th Gen) 4244P Hexa-core (6 Core) 3.80 GHz Processor  - 32 MB L3 Cache - 64-bit Processing - 5.10 GHz Overclocking Speed - Socket AM5 - 65 W - 12 Threads 100-100001480WOF,231.99$,5 out of 5,Seller is Newegg,AMD EPYC 4004 (4th Gen) 4244P Hexa-core (6 Core) 3.80 GHz Processor  - 32 MB L3 Cache - 64-bit Processing - 5.10 GHz Overclocking Speed - Socket AM5 - 65 W - 12 Threads 100-100001480WOF
https://www.newegg.com/p/N82E16824281350,"ASUS VU249HFI-W Eye Care Monitor – 24"" (23.8 inch viewable) Full HD (1920 x 1080), IPS, 100Hz, SmoothMotion, Adaptive Sync, Nano-ion, Eye Care Plus technology, Blue Light Filter, Flicker Free",1149.99$,No Rating,Seller is Newegg,"23.8"" Full HD frameless design with IPS 178° wide viewing angle panel Built-in Nano-ion generator to enhance air quality in indoor environment SmoothMotion technology with up to 100Hz refresh rate and 1ms MPRT eliminate tracing and ensure crisp and clear video playback and daily usage Green sustainability with paper packaging and energy-efficient performance that meets environmental standards Eye Care Plus technology and TÜV Rheinland-certified adjustable Blue Light Filter and ASUS Flicker Free technology ensure comfortable viewing"
https://www.newegg.com/msi-mag-z790-tomahawk-max-wifi-atx-intel-z790-lga-1700/p/N82E16813144633,"MSI MAG Z790 TOMAHAWK MAX WIFI LGA 1700(14th,13th,12th Gen) DDR5 ATX 8x SATA 6G  4x M.2  Wi-Fi 7  Bluetooth 2.5Gbps LAN Motherboard",260.44$,4.3 out of 5,Seller is Deal Targets,"BIOS update may be required when used with some 14th generation Intel Core processors, visit MSI support website for more information Wi-Fi 7: The latest wireless solution with a new 320MHz channel, achieving a maximum transmission speed of 5.8Gbps, which is 2.4 times faster than Wi-Fi 6/6E. Screwless M.2 Shield Frozr:The patent-pending design provides the easiest way of M.2 installation. Install or uninstall your M.2 and Shield Frozr without tools and screws. Lightning Gen 5: The latest PCIe 5.0 solution with up to 128GB/s bandwidth for maximum transfer speed. Quadruple M.2 Connectors: Onboard quadruple M.2 connectors for the maximum storage performance. Extended Heatsink Design: MSI extended PWM heatsink and enhanced circuit design ensures even high-end processors to run in full speed. M.2 Shield FROZR: M.2 thermal accessory keeps M.2 SSDs safe while preventing throttling, making them run faster."
https://www.newegg.com/black-startech-com-crj4550pk-consumer-electronics/p/N82E16812200789,StarTech.com CRJ4550PK 50 Pkg - Cat5e RJ45 Stranded Modular Plug Connector,27.99$,4.6 out of 5,Seller is Newegg,Terminate your Cat5e cables to the exact length required Cat 5e Plug / RJ45 Modular Plug / RJ45 Modular Connector / RJ45 ends / Bulk Cat5e RJ45 Stranded Modular Plug Connectors / 50 Pkg Field terminate your Cat 5e patch cables Designed to fit all Cat5e patch cables Convenient 50-pack for bulk Cat5e field terminations
https://www.newegg.com/startech-com-glct10pkst/p/N82E16833114158,"StarTech.com Cisco GLC-T Compatible SFP Module, 1000BASE-T RJ45 Copper, 10 Pack",317.99$,No Rating,Seller is Newegg,"With 1000Base-T technology, get up to 1000Mbps data transfer rate over twisted pair cable Gigabit Ethernet port for ultra-fast network speeds Up to 10x faster than standard Ethernet connection and provides high-performance Supports twisted pair cables for durability and improved signal transfer while ensuring smooth and seamless data transfer Twisted Pair media support for efficient and reliable connectivity Twisted Pair media support for a dependable and productive connectivity SFP (mini-GBIC) offers better usage with maximum efficiency and convenience SFP (mini-GBIC) offers enhanced dependability with maximum productivity SFP (mini-GBIC) with data networking application/usage for maximum productivity and usability SFP (mini-GBIC) with data networking application/usage for reliability and maximum efficiency Hot-pluggable form factor for added reliability and dependability Hot-pluggable form factor allows hassle-free and easy usage with increased efficiency"
https://www.newegg.com/ubiquiti-usw-48-48-x-rj45-4-x-sfp/p/1B4-0121-000V1,Ubiquity Standard 48 (USW-48),89.99$,4.7 out of 5,Seller is Newegg,"A 48-port, Layer 2 switch with a silent, fanless cooling system. (48) GbE ports (4) 1G SFP ports Fanless, silent cooling"
https://www.newegg.com/istarusa-tc-1200pd8g-atx/p/0Y3-008J-00002,iStarUSA TC-1200PD8G 1200W Ps2 Atx High Efficiency Switching Power Supply,308.99$,No Rating,Seller is Newegg,TC-1200PD8G
https://www.newegg.com/msi-rtx-5070-12g-shadow-2x-oc-nvidia-geforce-rtx-5070-12gb-gddr7/p/N82E16814137944,MSI SHADOW GeForce RTX 5070 12GB GDDR7 PCI Express 5.0 Graphics Card RTX 5070 12G SHADOW 2X OC,609.99$,4.3 out of 5,Seller is Newegg,12GB 192-Bit GDDR7 Boost Clock 2542 MHz 1 x HDMI 2.1b 3 x DisplayPort 2.1b 6144 Cores CUDA Cores PCI Express 5.0
https://www.newegg.com/acer-ed323qu-p1bmiipx-31-5-qhd-180-hz-nitro-va-black/p/N82E16824011512,"Acer Nitro ED323QU P1bmiipx 31.5"" 1000R Curved WQHD (2560 x 1440) Zero Frame Gaming Monitor with AMD FreeSync Technology, Up to 180Hz, 1ms(VRB) - (1 x Display Port 1.4 & 2 x HDMI 2.0 Ports)",2399.99$,No Rating,Seller is Newegg,"31.5"" WQHD (2560 x 1440) 1000R Curved Widescreen Gaming Monitor AMD FreeSync Technology ZeroFrame Design Response Time: 1ms (VRB) Refresh Rate: 180Hz (Using Display Port) - 144Hz (Using HDMI Port) Color Saturation: sRGB 99% Panel Type: VA Acer VisionCare Technologies 2 Speakers, 2 Watts per Speaker Ports: 1 x Display Port 1.4, 2 x HDMI 2.0 Ports & 1 x Audio Out"
